latitude,longitude,date,time-stamp,total_waiting_time,trail_number,local_group_number,group_starting_time,group_ending_time,next_stop_distance,time_level,zone,Day,wifi_count,honks,rsi
23.55932136,87.28473217,06/30/2019,09:01:42,5,9,1,09:01:37,9:01:45,797.729777577,2,market_place,Sunday,3,0,8.660000233333333
23.55246179,87.28702432,06/30/2019,09:04:32,1,9,2,09:04:32,9:04:33,328.904380035,2,normal_city,Sunday,0,0,9.8420715
23.55007147,87.28512371,06/30/2019,09:05:53,6,9,3,09:05:50,9:05:57,247.195083294,2,normal_city,Sunday,0,0,6.888822575000001
23.54826731,87.28370683,06/30/2019,09:06:50,6,9,4,09:06:50,9:06:58,443.306509487,2,normal_city,Sunday,4,0,7.193949377777778
23.54428821,87.28343753,06/30/2019,09:09:02,2,9,5,09:09:02,9:09:04,389.62471736,2,normal_city,Sunday,0,0,7.350102733333333
23.54260209,87.28678806,06/30/2019,09:10:11,1,9,6,09:10:11,9:10:12,123.805734633,2,normal_city,Sunday,0,0,10.6704635
23.54340927,87.2876246,06/30/2019,09:10:34,1,9,7,09:10:34,9:10:35,123.817833358,2,normal_city,Sunday,0,0,8.078743150000001
23.5443271,87.28831234,06/30/2019,09:11:07,3,9,8,09:11:02,9:11:08,810.079937885,2,normal_city,Sunday,0,0,8.454631228571428
23.53915979,87.29391408,06/30/2019,09:13:42,1,9,9,09:13:42,9:13:43,341.861065253,2,normal_city,Sunday,45,0,11.468933
23.537577,87.29678899,06/30/2019,09:14:33,2,9,10,09:14:33,9:14:42,244.395243599,2,normal_city,Sunday,16,0,8.76970815
23.53539289,87.29705711,06/30/2019,09:15:52,1,9,11,09:15:52,9:15:53,62.8052785823,2,normal_city,Sunday,0,0,8.4258957
23.53569127,87.2975802,06/30/2019,09:16:57,270,9,12,09:16:17,9:21:32,1630.11602922,2,normal_city,Sunday,13,0,8.356915476582277
23.52744359,87.31079936,06/30/2019,09:26:33,1,9,13,09:26:33,9:26:34,34.4598953439,2,normal_city,Sunday,0,0,8.616241500000001
23.52747485,87.31113564,06/30/2019,09:26:42,1,9,14,09:26:42,9:26:43,2249.66112308,2,normal_city,Sunday,0,0,8.6928555
23.50727309,87.30993594,06/30/2019,09:32:11,1,9,15,09:32:11,9:32:12,481.0177401,2,highway,Sunday,0,0,7.650176999999999
23.50348845,87.30765115,06/30/2019,09:33:28,6,9,16,09:33:21,9:33:36,393.527001429,2,highway,Sunday,3,0,8.341653987499999
23.5002694,87.30604749,06/30/2019,09:34:53,4,9,17,09:34:50,9:35:00,883.332877937,2,highway,Sunday,2,0,7.7006766454545446
23.49645076,87.31364341,06/30/2019,09:36:49,6,9,18,09:36:47,9:37:02,883.332877937,2,highway,Sunday,2,0,8.5542879
